0	2.2
1	2.2.1
2	2.2.1.2
3	c-2.2.1.1
4	c-2.2.2

1	1|A/Bangladesh/3233/2011_{c-2.2.2}
2	1|A/Cygnus_olor/Astrakhan/Ast05-2-1/2005_{2.2}
3	1|A/Egypt/N0544/2011_{2.2.1.2}
4	1|A/Egypt/N0677/2011_{2.2.1.2}
5	1|A/Egypt/N16789/2010_{2.2.1.2}
6	1|A/Pigeon/Turkey-Aydin/09rs2841-40/2006_{2.2}
7	1|A/chicken/Assam/142007/2008_{c-2.2.2}
8	1|A/chicken/Bangladesh/0411/2010_{c-2.2.2}
9	2|A/chicken/Bangladesh/1151-9/2010_{c-2.2.2}
10	1|A/chicken/Bangladesh/1151-9/2010_{c-2.2.2}
11	1|A/chicken/Bangladesh/380/2007_{c-2.2.2}
12	1|A/chicken/Bangladesh/531/2007_{c-2.2.2}
13	1|A/chicken/Bangladesh/CD-48-BL-165/2008_{c-2.2.2}
14	1|A/chicken/Bangladesh/FDIL(G)500/2007_{c-2.2.2}
15	1|A/chicken/Benin/6693-1/2007_{2.2}
16	1|A/chicken/Egypt/083/2008_{c-2.2.1.1}
17	1|A/chicken/Egypt/0859-NLQP/2008_{c-2.2.1.1}
18	1|A/chicken/Egypt/0882-NLQP/2008_{c-2.2.1.1}
19	1|A/chicken/Egypt/1050ss/2010_{c-2.2.1.1}
20	1|A/chicken/Egypt/1071g/2010_{c-2.2.1.1}
21	1|A/chicken/Egypt/1155AG/2011_{2.2.1.2}
22	1|A/chicken/Egypt/11764s/2011_{2.2.1.2}
23	1|A/chicken/Egypt/11VIR4453-159/VRLCU/2010_{2.2.1.2}
24	1|A/chicken/Egypt/2NLQP-CLEVB330/2008_{c-2.2.1.1}
25	1|A/chicken/Egypt/3982-4/2010_{c-2.2.1.1}
26	1|A/chicken/Egypt/8-C/2010_{c-2.2.1.1}
27	1|A/chicken/Egypt/S3280B/2011_{2.2.1.2}
28	2|A/chicken/Egypt/S3802D/2011_{2.2.1.2}
29	1|A/chicken/Egypt/S3802D/2011_{2.2.1.2}
30	1|A/chicken/Giza/CAI17/2009_{c-2.2.1.1}
31	1|A/chicken/India/WB-NIV2653/2008_{c-2.2.2}
32	1|A/chicken/Nigeria/08RS848-50/2006_{2.2}
33	1|A/chicken/Nigeria/1071-10/2007_{2.2}
34	1|A/chicken/Nigeria/BA209/2006_{2.2}
35	1|A/chicken/Pakistan/SPVC-8/2007_{2.2}
36	3|A/chicken/Turkey/Sirapinar_ist706/2006_{2.2.1}
37	2|A/chicken/Turkey/Sirapinar_ist706/2006_{2.2.1}
38	1|A/chicken/Turkey/Sirapinar_ist706/2006_{2.2.1}
39	1|A/chicken/West_Bengal/81537/2008_{c-2.2.2}
40	1|A/duck/Dakahlia/123/2009_{c-2.2.1.1}
41	1|A/duck/Egypt/1110AF/2011_{2.2.1.2}
42	1|A/duck/Egypt/1120SMF/2011_{2.2.1.2}
43	2|A/falcon/Saudi_Arabia/D1795/2005_{2.2}
44	1|A/falcon/Saudi_Arabia/D1795/2005_{2.2}
45	1|A/grebe/Tyva/Tyv06-1/2006_{2.2}
46	2|A/mallard/Italy/835/2006_{2.2.1}
47	1|A/mallard/Italy/835/2006_{2.2.1}
48	1|A/poultry/Egypt/4794-17/2010_{c-2.2.1.1}
49	1|A/tufted_duck/Denmark/6540/06_{2.2}
50	2|A/tufted_duck/Sweden/V599/2006_{2.2.1}
51	1|A/tufted_duck/Sweden/V599/2006_{2.2.1}
52	1|A/turkey/Egypt/101474v/2010_{c-2.2.1.1}
53	1|A/whooper_swan/Mongolia/6/05_{2.2}
54	1|EPI438890|A/chicken/India/85459/2008{new}{c-2.2.2}
55	1|EPI493430|A/chicken/Egypt/S3280E/2011{new}{2.2.1.2}
56	6|KJ522721|A/duck/Egypt/1310SD/2013{new}{2.2.1}
57	5|KJ522721|A/duck/Egypt/1310SD/2013{new}{2.2.1}
58	4|KJ522721|A/duck/Egypt/1310SD/2013{new}{2.2.1}
59	3|KJ522721|A/duck/Egypt/1310SD/2013{new}{2.2.1}
60	2|KJ522721|A/duck/Egypt/1310SD/2013{new}{2.2.1}
61	1|KJ522721|A/duck/Egypt/1310SD/2013{new}{2.2.1}
62	1|KP035022|A/chicken/Egypt/14VIR784-5-1318S/2013{new}{2.2.1}
